Name,Stars,Ratings,Reviews,Specifications,Price
"lychee LycheeT (Pink, 16 GB)  (2 GB RAM)",2.2,5 Ratings,0 Reviews,"{'In The Box': 'New', 'Model Number': 'Lychee t1', 'Model Name': 'LycheeT', 'Color': 'Pink', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'No', 'Touchscreen': 'Yes', 'OTG Compatible': 'yes', 'Additional Content': 'Phone, Charger, Head phone, USB Cable, battery,', 'Display Size': '13.97 cm (5.5 inch)', 'Resolution': '320 x 480$$pixels', 'Operating System': 'Android Oreo 8.1', 'Processor Core': 'Dual Core', 'Primary Clock Speed': '605 MHz', 'Internal Storage': '16 GB', 'RAM': '2 GB', 'Memory Card Slot Type': 'Dedicated Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '8MP Rear Camera', 'Optical Zoom': 'Yes', 'Secondary Camera': '11MP Front Camera', 'HD Recording': 'Yes', 'Video Recording': 'Yes', 'Image Editor': 'Yes', 'Dual Camera Lens': 'Primary Camera', 'Call Wait/Hold': 'Yes', 'Conference Call': 'Yes', 'Hands Free': 'Yes', 'Video Call Support': 'Yes', 'Call Divert': 'Yes', 'Call Timer': 'Yes', 'Speaker Phone': 'Yes', 'Speed Dialing': 'Yes', 'Network Type': '4G VOLTE, 2G, 3G', 'Supported Networks': '4G VoLTE', '3G': 'Yes', 'Micro USB Port': 'Yes', 'Bluetooth Support': 'Yes', 'Wi-Fi': 'Yes', 'Wi-Fi Hotspot': 'Yes', 'USB Tethering': 'Yes', 'USB Connectivity': 'Yes', 'Smartphone': 'Yes', 'Touchscreen Type': 'Yes', 'Mobile Tracker': 'Yes', 'Keypad Type': 'Alphanumeric', 'Social Networking Phone': 'Yes', 'Instant Message': 'Yes', 'Business Phone': 'Yes', 'Removable Battery': 'Yes', 'MMS': 'Yes', 'SMS': 'Yes', 'Keypad': 'No', 'Voice Input': 'Yes', 'Predictive Text Input': 'Yes', 'Upgradable Operating System': 'Quad core', 'Battery Capacity': '3000 mAh', 'Warranty Summary': '3 Month warranty'}",4200
"ZOPO Speed 7 Plus (White, 16 GB)  (3 GB RAM)",2.8,18 Ratings,4 Reviews,"{'In The Box': 'Micro USB Cable, 3.5mm Jack Stereo Headset, Warranty Card, Micro USB Charger, Battery, Quick Guide', 'Model Number': 'ZP952', 'Model Name': 'Speed 7 Plus', 'Color': 'White', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'Yes', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Additional Content': '16 GB SD Card', 'Display Size': '13.97 cm (5.5 inch)', 'Resolution': '1920 x 1080 pixels', 'Resolution Type': 'HD', 'Display Type': 'Full-HD (1920 x 1080)', 'HD Game Support': 'Yes', 'Operating System': 'Android Lollipop 5.1', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '1.3 GHz', 'Internal Storage': '16 GB', 'RAM': '3 GB', 'Expandable Storage': '64 GB', 'Supported Memory Card Type': 'MicroSD', 'Memory Card Slot Type': 'Hybrid Slot', 'Primary Camera': '13.2MP Rear Camera', 'Secondary Camera Available': 'Yes', 'Flash': 'Front & Back flash', 'HD Recording': 'Yes', 'Full HD Recording': 'Yes', 'Video Recording': 'Yes', 'Video Recording Resolution': '1080p', 'Call Wait/Hold': 'Yes', 'Conference Call': 'Yes', 'Hands Free': 'Yes', 'Video Call Support': 'Yes', 'Phone Book': 'Yes', 'Network Type': '3G, 4G', 'Supported Networks': 'GSM', 'GPRS': 'Yes', 'Bluetooth Support': 'Yes', 'Bluetooth Version': '4', 'Wi-Fi': 'Yes', 'Wi-Fi Hotspot': 'Yes', 'GPS Support': 'Yes', 'Touchscreen Type': 'FHD IPS 5-point multi-touch capacitive touchscreen', 'SMS': 'Yes', 'Voice Input': 'Yes', 'FM Radio': 'Yes', 'Battery Capacity': '3000 mAh', 'Battery Type': 'Li- ion', 'Warranty Summary': '1 Year Manufacturer Warranty', 'Warranty Service Type': 'Manufacturer'}",6499
"Honor 7X (Gold, 32 GB)  (4 GB RAM)",4.3,"2,464 Ratings",238 Reviews,"{'In The Box': 'Handset, Travel Charger, Warranty Card, Charging Cable, PC Cover, SIM Ejecting Tool', 'Model Number': 'BND-AL10', 'Model Name': '7X', 'Color': 'Gold', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'Yes', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Display Size': '15.06 cm (5.93 inch)', 'Resolution': '1080 x 2160 Pixels', 'Resolution Type': 'Full HD+', 'GPU': 'Mali-T830', 'Other Display Features': '18:9 Display, Full View Display', 'Operating System': 'Android Nougat 7', 'Processor Type': 'Kirin 659', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '2.36 GHz', 'Secondary Clock Speed': '1.7 GHz', 'Internal Storage': '32 GB', 'RAM': '4 GB', 'Expandable Storage': '256 GB', 'Supported Memory Card Type': 'microSD', 'Memory Card Slot Type': 'Hybrid Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '16MP + 2MP', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '8MP Front Camera', 'Dual Camera Lens': 'Primary Camera', 'Network Type': '3G, 4G VOLTE, 2G', 'Supported Networks': 'GSM, WCDMA, 4G VoLTE, 4G LTE', 'Internet Connectivity': '4G, 3G, Wi-Fi', '3G': 'Yes', 'Bluetooth Support': 'Yes', 'Bluetooth Version': '4.1', 'Wi-Fi': 'Yes', 'Wi-Fi Version': '802.11 b/g/n (2.4 GHz)', 'Wi-Fi Hotspot': 'Yes', 'USB Connectivity': 'Yes', 'Map Support': 'Google Maps', 'GPS Support': 'Yes', 'Smartphone': 'Yes', 'Touchscreen Type': 'Capacitive', 'SIM Size': 'Nano SIM and Nano SIM', 'User Interface': 'EMUI 5.1', 'Graphics PPI': '407 PPI', 'SIM Access': 'Dual-standby (4G + 4G)', 'Sensors': 'Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor,\xa0 Compass, Gravity Sensor, Phone Status Indicator', 'Other Features': 'Supports HT20 / HT40, Wi-Fi Direct, Huawei Share, Wi-Fi Bridge', 'Battery Capacity': '3340 mAH', 'Warranty Summary': '12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable'}",14000
"Honor 7X (Red, 32 GB)  (4 GB RAM)",4.3,"2,464 Ratings",238 Reviews,"{'In The Box': 'Handset, Travel Charger, Warranty Card, Charging Cable, PC Cover, SIM Ejecting Tool', 'Model Number': 'BND-AL10', 'Model Name': '7X', 'Color': 'Red', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'Yes', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Display Size': '15.06 cm (5.93 inch)', 'Resolution': '1080 x 2160 Pixels', 'Resolution Type': 'Full HD+', 'GPU': 'Mali-T830', 'Other Display Features': '18:9 Display, Full View Display', 'Operating System': 'Android Nougat 7', 'Processor Type': 'Kirin 659', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '2.36 GHz', 'Secondary Clock Speed': '1.7 GHz', 'Internal Storage': '32 GB', 'RAM': '4 GB', 'Expandable Storage': '256 GB', 'Supported Memory Card Type': 'microSD', 'Memory Card Slot Type': 'Hybrid Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '16MP + 2MP', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '8MP Front Camera', 'Dual Camera Lens': 'Primary Camera', 'Network Type': '3G, 4G VOLTE, 2G', 'Supported Networks': 'GSM, WCDMA, 4G VoLTE, 4G LTE', 'Internet Connectivity': '4G, 3G, Wi-Fi', '3G': 'Yes', 'Bluetooth Support': 'Yes', 'Bluetooth Version': '4.1', 'Wi-Fi': 'Yes', 'Wi-Fi Version': '802.11 b/g/n (2.4 GHz)', 'Wi-Fi Hotspot': 'Yes', 'USB Connectivity': 'Yes', 'Map Support': 'Google Maps', 'GPS Support': 'Yes', 'Smartphone': 'Yes', 'Touchscreen Type': 'Capacitive', 'SIM Size': 'Nano SIM and Nano SIM', 'User Interface': 'EMUI 5.1', 'Graphics PPI': '407 PPI', 'SIM Access': 'Dual-standby (4G + 4G)', 'Sensors': 'Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor,\xa0 Compass, Gravity Sensor, Phone Status Indicator', 'Other Features': 'Supports HT20 / HT40, Wi-Fi Direct, Huawei Share, Wi-Fi Bridge', 'Battery Capacity': '3340 mAH', 'Warranty Summary': '12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable'}",14500
"Honor 7X (Gold, 64 GB)  (4 GB RAM)",4.3,"2,464 Ratings",238 Reviews,"{'In The Box': 'Travel Charger, PC Cover, Handset, Warranty Card, Charging Cable, SIM Ejecting Tool', 'Model Number': 'BND-AL10', 'Model Name': '7X', 'Color': 'Gold', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'Yes', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Display Size': '15.06 cm (5.93 inch)', 'Resolution': '1080x2160 Pixels', 'Operating System': 'Android Nougat 7', 'Processor Type': 'Kirin 659', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '2.3 GHz', 'Secondary Clock Speed': '1.7 GHz', 'Internal Storage': '64 GB', 'RAM': '4 GB', 'Memory Card Slot Type': 'Hybrid Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '16MP Rear Camera', 'Primary Camera Features': '2MP, 16MP', 'Optical Zoom': 'Yes', 'Secondary Camera Available': 'Yes', 'Secondary Camera Features': '8', 'Flash': 'Yes', 'HD Recording': 'Yes', 'Full HD Recording': 'Yes', 'Video Recording': 'Yes', 'Dual Camera Lens': 'Primary Camera', 'Call Wait/Hold': 'Yes', 'Conference Call': 'Yes', 'Hands Free': 'Yes', 'Video Call Support': 'Yes', 'Call Divert': 'Yes', 'Phone Book': 'Yes', 'Call Timer': 'Yes', 'Speaker Phone': 'Yes', 'Speed Dialing': 'Yes', 'Call Records': 'Yes', 'Network Type': '3G, 4G VOLTE, 2G', 'Supported Networks': 'GSM, 4G VoLTE', 'Smartphone': 'Yes', 'Mobile Tracker': 'Yes', 'Keypad Type': 'Alphanumeric', 'Business Phone': 'Yes', 'MMS': 'Yes', 'SMS': 'Yes', 'Keypad': 'No', 'Battery Capacity': '3340 mAh', 'Warranty Summary': '1 Year Warranty'}",15500
"Honor 7X (Black, 32 GB)  (4 GB RAM)",4.3,"2,464 Ratings",238 Reviews,"{'In The Box': 'Handset, Travel Charger, Warranty Card, Charging Cable, PC Cover, SIM Ejecting Tool', 'Model Number': 'BND-AL10', 'Model Name': '7X', 'Color': 'Black', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'Yes', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Sound Enhancements': 'Bottom Speaker', 'Display Size': '15.06 cm (5.93 inch)', 'Resolution': '1080 x 2160 Pixels', 'Resolution Type': 'Full HD+', 'GPU': 'Mali-T830', 'Other Display Features': '18:9 Display, Full View Display', 'Operating System': 'Android Nougat 7', 'Processor Type': 'Kirin 659', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '2.36 GHz', 'Secondary Clock Speed': '1.7 GHz', 'Internal Storage': '32 GB', 'RAM': '4 GB', 'Expandable Storage': '256 GB', 'Supported Memory Card Type': 'microSD', 'Memory Card Slot Type': 'Hybrid Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '16MP + 2MP', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '8MP Front Camera', 'Dual Camera Lens': 'Primary Camera', 'Network Type': '3G, 4G VOLTE, 2G', 'Supported Networks': 'GSM, WCDMA, 4G VoLTE, 4G LTE', 'Internet Connectivity': '4G, 3G, Wi-Fi', '3G': 'Yes', 'Bluetooth Support': 'Yes', 'Bluetooth Version': '4.1', 'Wi-Fi': 'Yes', 'Wi-Fi Version': '802.11 b/g/n (2.4 GHz)', 'Wi-Fi Hotspot': 'Yes', 'USB Connectivity': 'Yes', 'Map Support': 'Google Maps', 'GPS Support': 'Yes', 'Smartphone': 'Yes', 'Touchscreen Type': 'Capacitive', 'SIM Size': 'Nano SIM and Nano SIM', 'User Interface': 'EMUI 5.1', 'Graphics PPI': '407 PPI', 'SIM Access': 'Dual-standby (4G + 4G)', 'Sensors': 'Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor,\xa0 Compass, Gravity Sensor, Phone Status Indicator', 'Other Features': 'Supports HT20 / HT40, Wi-Fi Direct, Huawei Share, Wi-Fi Bridge', 'GPS Type': 'A-GPS / GLONASS', 'Battery Capacity': '3340 mAH', 'Width': '75.3 mm', 'Height': '156.5 mm', 'Depth': '7.6 mm', 'Warranty Summary': '12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable'}",12722
"Honor 7X (Blue, 32 GB)  (4 GB RAM)",4.3,"2,464 Ratings",238 Reviews,"{'In The Box': 'Handset, Travel Charger, Warranty Card, Charging Cable, PC Cover, SIM Ejecting Tool', 'Model Number': 'BND-AL10', 'Model Name': '7X', 'Color': 'Blue', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'Yes', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Sound Enhancements': 'Bottom Speaker', 'Display Size': '15.06 cm (5.93 inch)', 'Resolution': '1080 x 2160 Pixels', 'Resolution Type': 'Full HD+', 'GPU': 'Mali-T830', 'Other Display Features': '18:9 Display, Full View Display', 'Operating System': 'Android Nougat 7', 'Processor Type': 'Kirin 659', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '2.36 GHz', 'Secondary Clock Speed': '1.7 GHz', 'Internal Storage': '32 GB', 'RAM': '4 GB', 'Expandable Storage': '256 GB', 'Supported Memory Card Type': 'microSD', 'Memory Card Slot Type': 'Hybrid Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '16MP + 2MP', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '8MP Front Camera', 'Dual Camera Lens': 'Primary Camera', 'Network Type': '3G, 4G VOLTE, 2G', 'Supported Networks': 'GSM, WCDMA, 4G VoLTE, 4G LTE', 'Internet Connectivity': '4G, 3G, Wi-Fi', '3G': 'Yes', 'Bluetooth Support': 'Yes', 'Bluetooth Version': '4.1', 'Wi-Fi': 'Yes', 'Wi-Fi Version': '802.11 b/g/n (2.4 GHz)', 'Wi-Fi Hotspot': 'Yes', 'USB Connectivity': 'Yes', 'Map Support': 'Google Maps', 'GPS Support': 'Yes', 'Smartphone': 'Yes', 'Touchscreen Type': 'Capacitive', 'SIM Size': 'Nano SIM and Nano SIM', 'User Interface': 'EMUI 5.1', 'Graphics PPI': '407 PPI', 'SIM Access': 'Dual-standby (4G + 4G)', 'Sensors': 'Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor,\xa0 Compass, Gravity Sensor, Phone Status Indicator', 'Other Features': 'Supports HT20 / HT40, Wi-Fi Direct, Huawei Share, Wi-Fi Bridge', 'GPS Type': 'A-GPS / GLONASS', 'Battery Capacity': '3340 mAH', 'Width': '75.3 mm', 'Height': '156.5 mm', 'Depth': '7.6 mm', 'Warranty Summary': '12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable'}",12722
"Honor 7X (Black, 64 GB)  (4 GB RAM)",4.3,"2,464 Ratings",238 Reviews,"{'In The Box': 'Handset, Travel Charger, Warranty Card, Charging Cable, PC Cover, SIM Ejecting Tool', 'Model Number': 'BND-AL10', 'Model Name': '7X', 'Color': 'Black', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'Yes', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Sound Enhancements': 'Bottom Speaker', 'Display Size': '15.06 cm (5.93 inch)', 'Resolution': '1080 x 2160 Pixels', 'Resolution Type': 'Full HD+', 'GPU': 'Mali-T830', 'Other Display Features': '18:9 Display, Full View Display', 'Operating System': 'Android Nougat 7', 'Processor Type': 'Kirin 659', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '2.36 GHz', 'Secondary Clock Speed': '1.7 GHz', 'Internal Storage': '64 GB', 'RAM': '4 GB', 'Expandable Storage': '256 GB', 'Supported Memory Card Type': 'microSD', 'Memory Card Slot Type': 'Hybrid Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '16MP + 2MP', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '8MP Front Camera', 'Dual Camera Lens': 'Primary Camera', 'Network Type': '3G, 4G VOLTE, 2G', 'Supported Networks': 'GSM, WCDMA, 4G VoLTE, 4G LTE', 'Internet Connectivity': '4G, 3G, Wi-Fi', '3G': 'Yes', 'Bluetooth Support': 'Yes', 'Bluetooth Version': '4.1', 'Wi-Fi': 'Yes', 'Wi-Fi Version': '802.11 b/g/n (2.4 GHz)', 'Wi-Fi Hotspot': 'Yes', 'USB Connectivity': 'Yes', 'Map Support': 'Google Maps', 'GPS Support': 'Yes', 'Smartphone': 'Yes', 'Touchscreen Type': 'Capacitive', 'SIM Size': 'Nano SIM and Nano SIM', 'User Interface': 'EMUI 5.1', 'Graphics PPI': '407 PPI', 'SIM Access': 'Dual-standby (4G + 4G)', 'Sensors': 'Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor,\xa0 Compass, Gravity Sensor, Phone Status Indicator', 'Other Features': 'Supports HT20 / HT40, Wi-Fi Direct, Huawei Share, Wi-Fi Bridge', 'GPS Type': 'A-GPS / GLONASS', 'Battery Capacity': '3340 mAH', 'Width': '75.3 mm', 'Height': '156.5 mm', 'Depth': '7.6 mm', 'Warranty Summary': '12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable'}",15500
